City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Pimentel,PE,2021-12-23 17:41:13,-6.8367,-79.9342,82.69,47,0,13.8,clear sky
231,Troitskoye,RU,2021-12-23 17:41:13,52.9821,84.6757,15.91,84,96,4.14,overcast clouds
232,Kovdor,RU,2021-12-23 17:41:13,67.5662,30.4758,14.32,83,100,13.02,overcast clouds
233,Sao Joao Da Barra,BR,2021-12-23 17:41:14,-21.6403,-41.0511,77.09,83,97,14.23,overcast clouds
234,Katsuura,JP,2021-12-23 17:41:14,35.1333,140.3,51.19,61,83,18.28,broken clouds
235,Mgachi,RU,2021-12-23 17:41:15,51.05,142.2667,-1.61,99,100,8.93,light snow
236,Chynov,CZ,2021-12-23 17:41:15,49.4068,14.8112,33.3,69,100,6.06,light snow
237,Guasdualito,VE,2021-12-23 17:41:15,7.2424,-70.7324,87.8,62,40,6.91,scattered clouds
238,Burnie,AU,2021-12-23 17:41:16,-41.0667,145.9167,54.95,83,45,2.93,scattered clouds
239,Bubaque,GW,2021-12-23 17:41:16,11.2833,-15.8333,80.58,66,6,13.78,clear sky
240,Kieta,PG,2021-12-23 17:41:16,-6.2167,155.6333,79.63,83,100,2.93,overcast clouds
241,Ponta Delgada,PT,2021-12-23 17:41:17,37.7333,-25.6667,59.72,72,40,26.46,scattered clouds
242,Barcelos,PT,2021-12-23 17:41:17,41.5388,-8.6151,57.34,91,74,7.83,broken clouds
243,Ketchikan,US,2021-12-23 17:41:17,55.3422,-131.6461,25.27,74,1,3.44,clear sky
244,Mana,GF,2021-12-23 17:41:18,5.6592,-53.7767,80.24,88,97,10.45,overcast clouds
245,Aykhal,RU,2021-12-23 17:41:18,66.0,111.5,-8.54,98,62,6.29,broken clouds
246,San Juan,AR,2021-12-23 17:40:43,-31.5375,-68.5364,94.14,21,4,13.78,clear sky
247,Liverpool,GB,2021-12-23 17:41:18,53.4106,-2.9779,51.13,93,75,4.0,broken clouds
248,Cabo San Lucas,MX,2021-12-23 17:34:42,22.8909,-109.9124,77.31,46,40,0.0,scattered clouds
249,Yulara,AU,2021-12-23 17:33:26,-25.2406,130.9889,75.04,57,100,6.91,overcast clouds
250,Bethel,US,2021-12-23 17:41:19,41.3712,-73.414,36.48,41,1,1.99,clear sky
251,Grand Gaube,MU,2021-12-23 17:41:19,-20.0064,57.6608,81.0,83,100,1.99,overcast clouds
252,Quatre Cocos,MU,2021-12-23 17:41:20,-20.2078,57.7625,80.71,81,100,8.46,overcast clouds
253,Bembereke,BJ,2021-12-23 17:41:20,10.2283,2.6634,81.66,21,3,4.83,clear sky
254,Maguling,PH,2021-12-23 17:41:21,6.095,124.4033,77.49,83,100,3.33,overcast clouds
255,Tahoua,NE,2021-12-23 17:41:21,14.8888,5.2692,75.9,15,33,11.25,scattered clouds
256,Loubomo,CG,2021-12-23 17:41:21,-4.1997,12.6739,71.94,97,100,2.42,overcast clouds
257,Praia,CV,2021-12-23 17:41:22,14.9215,-23.5087,81.14,54,0,17.27,clear sky
258,Abnub,EG,2021-12-23 17:41:22,27.2696,31.1511,59.22,55,100,10.58,overcast clouds
